                spot_name                |              domain              | domain_count
 Gasoline Grill                          | gasolinegrill.com                |            4
 Flat Iron                               | flatironsteak.co.uk              |            9
 Junkyard Golf Club                      | junkyardgolfclub.co.uk           |            3
 Vagabond                                | vagabondwines.co.uk              |            2
 Comptoir Libanais                       | comptoirlibanais.com             |           22
 Burgers and Brew                        | burgersnbrew.com                 |            2
 Pix Pintxos                             | pix-bar.com                      |            3
 Taro                                    | tarorestaurants.uk               |            2
 Koi                                     | koirestaurant.com                |            2
 Beso Beach                              | besobeach.com                    |            2
 Yauatcha                                | yauatcha.com                     |            2
 Carissa's the Bakery                    | carissasthebakery.com            |            2
 Comptoir Gourmand                       | comptoirgourmand.co.uk           |            2
 Ottolenghi                              | ottolenghi.co.uk                 |            4
 Tattu                                   | tattu.co.uk                      |            3
 Mercato Metropolitano                   | mercatometropolitano.com         |            2
 The Alchemist                           | thealchemist.uk.com              |            4
 Melange                                 | melangerestaurant.co.uk          |            2
 Butchies                                | butchies.co.uk                   |            2
 Hard Rock Cafe - Park Lane              | hardrockcafe.com                 |            2
 The Blues Kitchen                       | theblueskitchen.com              |            3
 Draughts                                | draughtslondon.com               |            2
 Fatto a Mano                            | fattoamanopizza.com              |            2
 Franco Manca                            | francomanca.co.uk                |           13
 Monte Mar                               | montemar.pt                      |            3
 Mediterranevm                           | mediterranevm.co.uk              |            2
 Coya                                    | coyarestaurant.com               |            2
 Gusto                                   | gustorestaurants.uk.com          |           11
 Costa Coffee                            | costa.co.uk                      |            3
 Be At One                               | beatone.co.uk                    |            2
 MEAT Liquor                             | meatliquor.com                   |            9
 Bagel Factory                           | bagelfactory.co.uk               |            2
 The Hoxton                              | thehoxton.com                    |            8
 Harris + Hoole                          | harrisandhoole.co.uk             |            3
 Wildwood                                | wildwoodrestaurants.co.uk        |            3
 Four Seasons                            | fourseasons.com                  |            3
 Doughnut Time                           | doughnuttime.co.uk               |            2
 Eat a Pitta                             | eatapitta.co.uk                  |            4
 Department of Coffee and Social Affairs | departmentofcoffee.com           |            2
 The Real Greek                          | therealgreek.com                 |            5
 YO! Sushi                               | yosushi.me                       |            2
 Mobile Phone Repair Doctor              | mobilephonerepairdoctor.co.uk    |            2
 T-Mobile                                | t-mobile.pl                      |            2
 Pollo Tropical                          | pollotropical.com                |            7
 Taqueria                                | taqueria.co.uk                   |            2
 Farmer J                                | farmerj.com                      |            2
 Joe's Pizza                             | joespizzanyc.com                 |            5
 Taverna del Marinaio                    | tavernadelmarinaio.com           |            2
 Mexican Sugar                           | mexicansugarcocina.com           |            2
 Cabana                                  | cabana-brasil.com                |            2
 Sofra                                   | restoransofra.com                |            2
 Tapas Brindisa                          | brindisakitchens.com             |            3
 Heavenly Desserts                       | heavenlydesserts.co.uk           |            3
 San Carlo                               | sancarlo.co.uk                   |            2
 KERB                                    | kerbfood.com                     |            3
 BrewDog                                 | brewdog.com                      |            2
 German Doner Kebab                      | germandonerkebab.com             |            3
 Forty Hands                             | 40handscoffee.com                |            2
 wagamama                                | wagamama.com                     |            4
 Patty & Bun                             | pattyandbun.co.uk                |            9
 B Bagel Bakery Bar                      | bbagel.co.uk                     |            2
 Buddha Bar                              | buddhabar.com                    |            3
 Hopper & Bean                           | hopperandbean.com                |            2
 C London                                | crestaurant.co.uk                |            2
 Turtle Bay                              | turtlebay.co.uk                  |            4
 Burger & Beyond                         | burgerandbeyond.co.uk            |            2
 The Rib Room                            | jumeirah.com                     |            2
 Cafe Murano                             | cafemurano.co.uk                 |            3
 Wild Bean Cafe                          | bp.com                           |            2
 Fego                                    | hellofego.com                    |            3
 Bánh Bánh                               | banhbanh.com                     |            2
(383 rows)

